posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
223,972.6556597,223,1516.75,,947.6556597,-491.75
224,963.7043383,224,1516.75,,938.7043383,-491.75
225,954.182582,225,1516.75,,929.182582,-491.75
226,944.0696177,226,1516.75,,919.0696177,-491.75
227,933.3593467,227,1516.75,,908.3593467,-491.75
228,922.1008193,228,1516.75,,897.1008193,-491.75
229,910.2886512,229,1516.75,,885.2886512,-491.75
230,897.8772581,230,1516.75,,872.8772581,-491.75
231,884.9239454,231,1516.75,,859.9239454,-491.75
232,871.4132568,232,1516.75,,846.4132568,-491.75
233,857.5460046,233,1516.75,,832.5460046,-491.75
234,843.6771158,234,1516.75,,818.6771158,-491.75
235,829.8098304,235,1516.75,,804.8098304,-491.75
236,815.941139,236,1516.75,,790.941139,-491.75
237,802.0736801,237,1516.75,,777.0736801,-491.75
238,788.2099574,238,1516.75,,763.2099574,-491.75
239,774.3406062,239,1516.75,,749.3406062,-491.75
240,760.4726664,240,1516.75,,735.4726664,-491.75
241,746.5972606,241,1516.75,,721.5972606,-491.75
242,732.7271072,242,1516.75,,707.7271072,-491.75
243,718.8557098,243,1516.75,,693.8557098,-491.75
244,704.9830892,244,1516.75,,679.9830892,-491.75
245,691.1128278,245,1516.75,,666.1128278,-491.75
246,677.2409248,246,1516.75,,652.2409248,-491.75
247,663.3701566,247,1516.75,,638.3701566,-491.75
248,649.5007274,248,1516.75,,624.5007274,-491.75
249,635.627557,249,1516.75,,610.627557,-491.75
250,621.7609976,250,1516.75,,596.7609976,-491.75
251,607.8923178,251,1516.75,,582.8923178,-491.75
252,594.0213284,252,1516.75,,569.0213284,-491.75
253,580.1499423,253,1516.75,,555.1499423,-491.75
254,566.2765188,254,1516.75,,541.2765188,-491.75
255,552.4074331,255,1516.75,,527.4074331,-491.75
256,538.5378922,256,1516.75,,513.5378922,-491.75
257,533.25,257,1506.968912,,508.25,-481.9689117
258,533.25,258,1493.100733,,508.25,-468.1007326
259,533.25,259,1479.221258,,508.25,-454.2212579
260,533.25,260,1465.347465,,508.25,-440.3474653
261,533.25,261,1451.478693,,508.25,-426.4786926
262,533.25,262,1437.607726,,508.25,-412.6077262
263,533.25,263,1423.74002,,508.25,-398.7400197
264,533.25,264,1409.873455,,508.25,-384.8734547
265,533.25,265,1396.003607,,508.25,-371.0036071
266,533.25,266,1382.134636,,508.25,-357.1346361
267,533.25,267,1368.265695,,508.25,-343.2656951
268,533.25,268,1354.394469,,508.25,-329.3944686
269,533.25,269,1340.524042,,508.25,-315.5240419
270,533.25,270,1326.65982,,508.25,-301.65982
271,533.25,271,1312.792938,,508.25,-287.792938
272,533.25,272,1298.92923,,508.25,-273.9292302
273,533.25,273,1285.060849,,508.25,-260.0608492
274,533.25,274,1271.188396,,508.25,-246.1883955
275,533.25,275,1257.313932,,508.25,-232.3139321
276,533.25,276,1243.451214,,508.25,-218.4512138
277,533.25,277,1229.579692,,508.25,-204.5796925
278,533.25,278,1215.704732,,508.25,-190.7047321
279,533.25,279,1201.831026,,508.25,-176.8310263
280,533.25,280,1187.960755,,508.25,-162.9607549
281,533.25,281,1174.090019,,508.25,-149.0900192
282,533.25,282,1160.21815,,508.25,-135.2181502
283,533.25,283,1146.346469,,508.25,-121.3464687
284,533.25,284,1132.473075,,508.25,-107.4730745
285,533.25,285,1118.602544,,508.25,-93.60254445
286,533.25,286,1104.727237,,508.25,-79.7272374
287,533.25,287,1090.855764,,508.25,-65.85576433
288,533.25,288,1076.987701,,508.25,-51.98770106
289,533.25,289,1063.109295,,508.25,-38.10929481
290,533.25,290,1049.242475,,508.25,-24.24247523
291,533.3858535,291,1035.377575,,508.3858535,-10.37757506
292,546.1985785,292,1033.25,,521.1985785,-8.25
293,560.0674821,293,1033.25,,535.0674821,-8.25
294,573.9349938,294,1033.25,,548.9349938,-8.25
295,587.8016204,295,1033.25,,562.8016204,-8.25
296,601.6690665,296,1033.25,,576.6690665,-8.25
297,615.5423465,297,1033.25,,590.5423465,-8.25
298,629.4102924,298,1033.25,,604.4102924,-8.25
299,643.2822904,299,1033.25,,618.2822904,-8.25
300,657.1581187,300,1033.25,,632.1581187,-8.25
301,671.0226445,301,1033.25,,646.0226445,-8.25
302,684.9000717,302,1033.25,,659.9000717,-8.25
303,698.7698534,303,1033.25,,673.7698534,-8.25
304,712.6406127,304,1033.25,,687.6406127,-8.25
305,726.5117387,305,1033.25,,701.5117387,-8.25
306,740.3767413,306,1033.25,,715.3767413,-8.25
307,754.2509248,307,1033.25,,729.2509248,-8.25
308,768.1260954,308,1033.25,,743.1260954,-8.25
309,781.9951217,309,1033.25,,756.9951217,-8.25
